"di_id","year","value","budget-type"
"AE","2000",,"actual"
"AE","2001",,"actual"
"AE","2002",,"actual"
"AE","2003",,"actual"
"AE","2004",,"actual"
"AE","2005",,"actual"
"AE","2006",,"actual"
"AE","2007",,"actual"
"AE","2008",,"actual"
"AE","2009",,"actual"
"AE","2010",,"actual"
"AE","2011",,"actual"
"AE","2012",24262.6831746527,"actual"
"AE","2013",25354.7205998797,"actual"
"AE","2014",23251.0527545502,"actual"
"AE","2015",18579.0645374209,"actual"
"AE","2016",17867.7807691687,"actual"
"AE","2017",16904.302200866,"proj"
"AE","2018",16414.3832685637,"proj"
"AF","2000",,"actual"
"AF","2001",,"actual"
"AF","2002",,"actual"
"AF","2003",28.5747176533349,"actual"
"AF","2004",42.9010239961318,"actual"
"AF","2005",47.1091847840815,"actual"
"AF","2006",68.3192967289556,"actual"
"AF","2007",85.1856864395632,"actual"
"AF","2008",82.619438966509,"actual"
"AF","2009",102.676092799353,"actual"
"AF","2010",142.154506800442,"actual"
"AF","2011",182.125426693149,"actual"
"AF","2012",186.49756343533,"actual"
"AF","2013",185.390954299324,"actual"
"AF","2014",161.051514212665,"actual"
"AF","2015",187.874616816126,"actual"
"AF","2016",190.600346818031,"actual"
"AF","2017",210.911989500376,"actual"
"AF","2018",202.413277545162,"proj"
"AF","2019",209.088817728104,"proj"
"AF","2020",216.030987142208,"proj"
"AF","2021",239.713657950674,"proj"
"AF","2022",268.577459851517,"proj"
"AF","2023",302.338047231303,"proj"
"AG","2000",3025.33401459217,"actual"
"AG","2001",3233.06162269649,"actual"
"AG","2002",3507.50144209716,"actual"
"AG","2003",3767.0320896612,"actual"
"AG","2004",4097.06809302585,"actual"
"AG","2005",4191.96405784896,"actual"
"AG","2006",4906.41789873833,"actual"
"AG","2007",5655.67736031589,"actual"
"AG","2008",5433.25755596168,"actual"
"AG","2009",4299.75071307111,"actual"
"AG","2010",4429.78621727379,"actual"
"AG","2011",4030.47035589053,"actual"
"AG","2012",4384.69328976442,"actual"
"AG","2013",3970.14192790084,"actual"
"AG","2014",4327.95516616824,"actual"
"AG","2015",5343.61096119317,"actual"
"AG","2016",5688.02589147033,"actual"
"AG","2017",4758.05806901575,"proj"
"AG","2018",,"proj"
"AG","2019",,"proj"
"AG","2020",,"proj"
"AL","2000",1263.44269732411,"actual"
"AL","2001",1380.32985328814,"actual"
"AL","2002",1481.78695475201,"actual"
"AL","2003",1542.51446938033,"actual"
"AL","2004",1662.96522641605,"actual"
"AL","2005",1760.86875991658,"actual"
"AL","2006",1938.56710138785,"actual"
"AL","2007",2084.31490691903,"actual"
"AL","2008",2343.68754154243,"actual"
"AL","2009",2361.03836665156,"actual"
"AL","2010",2442.70282653172,"actual"
"AL","2011",2474.28658070257,"actual"
"AL","2012",2439.46666125724,"actual"
"AL","2013",2385.6424055965,"actual"
"AL","2014",2638.29176835565,"actual"
"AL","2015",2715.7250778606,"actual"
"AL","2016",2891.34113504038,"actual"
"AL","2017",3107.090303422,"proj"
"AL","2018",3191.2933887385,"proj"
"AL","2019",3299.47381225482,"proj"
"AL","2020",3420.99636375278,"proj"
"AL","2021",3532.18638515799,"proj"
"AL","2022",3633.87748023378,"proj"
"AM","2000",,"actual"
"AM","2001",489.130907999029,"actual"
"AM","2002",559.169229896583,"actual"
"AM","2003",606.327790181546,"actual"
"AM","2004",686.694149101431,"actual"
"AM","2005",808.869788199875,"actual"
"AM","2006",1054.63554628749,"actual"
"AM","2007",1329.29213590715,"actual"
"AM","2008",1479.30882737432,"actual"
"AM","2009",1283.05828216201,"actual"
"AM","2010",1326.71887237062,"actual"
