"di_id","year","budget-type","l1","l2","l3","l4","l5","l6","value","value-ncu"
"AF",2000,"actual","total-expenditure","development-expenditure","education",,,,,
"AF",2000,"actual","total-expenditure","recurrent-expenditure","capital-expenditures",,,,,
"AF",2000,"actual","total-revenue-and-grants",,,,,,,
"AF",2000,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","afghanistan-reconstruction-trust-fund",,,,
"AF",2000,"actual","total-expenditure","recurrent-expenditure","pensions",,,,,
"AF",2000,"actual","total-expenditure",,,,,,,
"AF",2000,"actual","total-expenditure","development-expenditure","agriculture-and-rural-development",,,,,
"AF",2000,"actual","total-revenue-and-grants","grants",,,,,,
"AF",2000,"actual","total-revenue-and-grants","revenue","tax-revenue","other-taxes",,,,
"AF",2000,"actual","total-revenue-and-grants","revenue",,,,,,
"AF",2000,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","the-law-and-order-trust-fund-forafghanistan",,,,
"AF",2000,"actual","financing","net-domestic-finance","bank-financing","government-deposits",,,,
"AF",2000,"actual","total-expenditure","development-expenditure","economic-governance-and-private-sector-development",,,,,
"AF",2000,"actual","total-expenditure","development-expenditure",,,,,,
"AF",2000,"actual","total-expenditure","recurrent-expenditure","wages-and-salaries",,,,,
"AF",2000,"actual","total-expenditure","recurrent-expenditure","interest-payments",,,,,
"AF",2000,"actual","total-expenditure","development-expenditure","infrastructure-and-natural-resources",,,,,
"AF",2000,"actual","financing","net-external-finance",,,,,,
"AF",2000,"actual","total-revenue-and-grants","revenue","tax-revenue","taxes-on-income-profits-and-capital-gains",,,,
"AF",2000,"actual","total-expenditure","development-expenditure","governance-rule-of-law-and-human-rights",,,,,
"AF",2000,"actual","financing","net-domestic-finance","bank-financing",,,,,
"AF",2000,"actual","total-expenditure","recurrent-expenditure","subsidies-and-transfers",,,,,
"AF",2000,"actual","total-expenditure","development-expenditure","security",,,,,
"AF",2000,"actual","total-revenue-and-grants","grants","grants-to-development-budget",,,,,
"AF",2000,"actual","total-expenditure","development-expenditure","social-protection",,,,,
"AF",2000,"actual","total-expenditure","recurrent-expenditure","goods-and-services",,,,,
"AF",2000,"actual","total-revenue-and-grants","revenue","tax-revenue","taxes-on-goods-and-services",,,,
"AF",2000,"actual","financing","net-domestic-finance",,,,,,
"AF",2000,"actual","financing","net-domestic-finance","bank-financing","domestic-debt-sukuk",,,,
"AF",2000,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,,,
"AF",2000,"actual","total-expenditure","recurrent-expenditure",,,,,,
"AF",2000,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","other-grants",,,,
"AF",2000,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","nato-training-missionafghanistan",,,,
"AF",2000,"actual","total-expenditure","development-expenditure","health",,,,,
"AF",2000,"actual","total-revenue-and-grants","revenue","tax-revenue",,,,,
"AF",2000,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,,
"AF",2000,"actual","financing",,,,,,,
"AF",2000,"actual","total-expenditure","development-expenditure","other",,,,,
"AF",2000,"actual","total-revenue-and-grants","grants","grants-to-operating-budget",,,,,
"AF",2000,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","combined-security-transition-command-afghanistan",,,,
"AF",2000,"actual","financing","net-domestic-finance","bank-financing","claims-on-government",,,,
"AF",2001,"actual","total-expenditure","development-expenditure","agriculture-and-rural-development",,,,,
"AF",2001,"actual","total-expenditure","development-expenditure","governance-rule-of-law-and-human-rights",,,,,
"AF",2001,"actual","total-expenditure","development-expenditure",,,,,,
"AF",2001,"actual","financing","net-domestic-finance","bank-financing","government-deposits",,,,
"AF",2001,"actual","total-revenue-and-grants","revenue","tax-revenue","taxes-on-goods-and-services",,,,
"AF",2001,"actual","total-expenditure",,,,,,,
"AF",2001,"actual","total-expenditure","recurrent-expenditure","interest-payments",,,,,
"AF",2001,"actual","total-expenditure","recurrent-expenditure",,,,,,
"AF",2001,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,,
"AF",2001,"actual","total-expenditure","recurrent-expenditure","pensions",,,,,
"AF",2001,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","afghanistan-reconstruction-trust-fund",,,,
"AF",2001,"actual","total-revenue-and-grants",,,,,,,
"AF",2001,"actual","total-expenditure","development-expenditure","economic-governance-and-private-sector-development",,,,,
"AF",2001,"actual","financing","net-domestic-finance","bank-financing",,,,,
"AF",2001,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","the-law-and-order-trust-fund-forafghanistan",,,,
"AF",2001,"actual","total-expenditure","development-expenditure","education",,,,,
"AF",2001,"actual","total-revenue-and-grants","grants","grants-to-operating-budget",,,,,
"AF",2001,"actual","total-expenditure","recurrent-expenditure","capital-expenditures",,,,,
"AF",2001,"actual","total-expenditure","recurrent-expenditure","wages-and-salaries",,,,,
"AF",2001,"actual","total-revenue-and-grants","grants",,,,,,
"AF",2001,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","combined-security-transition-command-afghanistan",,,,
"AF",2001,"actual","total-expenditure","recurrent-expenditure","subsidies-and-transfers",,,,,
"AF",2001,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","other-grants",,,,
"AF",2001,"actual","total-revenue-and-grants","grants","grants-to-development-budget",,,,,
"AF",2001,"actual","total-expenditure","development-expenditure","other",,,,,
"AF",2001,"actual","total-expenditure","recurrent-expenditure","goods-and-services",,,,,
"AF",2001,"actual","total-expenditure","development-expenditure","infrastructure-and-natural-resources",,,,,
"AF",2001,"actual","total-expenditure","development-expenditure","health",,,,,
"AF",2001,"actual","total-expenditure","development-expenditure","social-protection",,,,,
"AF",2001,"actual","financing","net-domestic-finance",,,,,,
"AF",2001,"actual","total-revenue-and-grants","revenue","tax-revenue","other-taxes",,,,
"AF",2001,"actual","financing","net-external-finance",,,,,,
"AF",2001,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","nato-training-missionafghanistan",,,,
"AF",2001,"actual","total-revenue-and-grants","revenue","tax-revenue","taxes-on-income-profits-and-capital-gains",,,,
"AF",2001,"actual","financing","net-domestic-finance","bank-financing","domestic-debt-sukuk",,,,
"AF",2001,"actual","total-expenditure","development-expenditure","security",,,,,
"AF",2001,"actual","total-revenue-and-grants","revenue","tax-revenue",,,,,
"AF",2001,"actual","total-revenue-and-grants","revenue",,,,,,
"AF",2001,"actual","financing","net-domestic-finance","bank-financing","claims-on-government",,,,
"AF",2001,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,,,
"AF",2001,"actual","financing",,,,,,,
"AF",2002,"actual","total-expenditure",,,,,,,
"AF",2002,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","the-law-and-order-trust-fund-forafghanistan",,,,
"AF",2002,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","afghanistan-reconstruction-trust-fund",,,,
"AF",2002,"actual","total-revenue-and-grants","revenue","tax-revenue","taxes-on-goods-and-services",,,,
"AF",2002,"actual","total-expenditure","development-expenditure","health",,,,,
"AF",2002,"actual","total-revenue-and-grants","grants",,,,,,
"AF",2002,"actual","total-revenue-and-grants",,,,,,,
"AF",2002,"actual","total-expenditure","recurrent-expenditure","capital-expenditures",,,,,
"AF",2002,"actual","total-expenditure","development-expenditure","infrastructure-and-natural-resources",,,,,
"AF",2002,"actual","total-expenditure","recurrent-expenditure","interest-payments",,,,,
"AF",2002,"actual","financing","net-external-finance",,,,,,
"AF",2002,"actual","total-revenue-and-grants","revenue","tax-revenue","other-taxes",,,,
"AF",2002,"actual","total-expenditure","development-expenditure",,,,,,
"AF",2002,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","nato-training-missionafghanistan",,,,
"AF",2002,"actual","financing","net-domestic-finance","bank-financing","government-deposits",,,,
"AF",2002,"actual","total-expenditure","development-expenditure","education",,,,,
"AF",2002,"actual","total-expenditure","recurrent-expenditure",,,,,,
"AF",2002,"actual","financing","net-domestic-finance","bank-financing",,,,,
"AF",2002,"actual","total-expenditure","recurrent-expenditure","wages-and-salaries",,,,,
"AF",2002,"actual","total-expenditure","development-expenditure","other",,,,,
"AF",2002,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","combined-security-transition-command-afghanistan",,,,
"AF",2002,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","other-grants",,,,
"AF",2002,"actual","total-expenditure","development-expenditure","governance-rule-of-law-and-human-rights",,,,,
"AF",2002,"actual","total-expenditure","recurrent-expenditure","pensions",,,,,
"AF",2002,"actual","total-revenue-and-grants","revenue",,,,,,
"AF",2002,"actual","total-expenditure","development-expenditure","economic-governance-and-private-sector-development",,,,,
"AF",2002,"actual","total-expenditure","recurrent-expenditure","subsidies-and-transfers",,,,,
"AF",2002,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,,
"AF",2002,"actual","total-expenditure","development-expenditure","social-protection",,,,,
"AF",2002,"actual","total-revenue-and-grants","grants","grants-to-operating-budget",,,,,
"AF",2002,"actual","total-expenditure","recurrent-expenditure","goods-and-services",,,,,
"AF",2002,"actual","total-expenditure","development-expenditure","agriculture-and-rural-development",,,,,
"AF",2002,"actual","total-expenditure","development-expenditure","security",,,,,
"AF",2002,"actual","total-revenue-and-grants","revenue","tax-revenue","taxes-on-income-profits-and-capital-gains",,,,
"AF",2002,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,,,
"AF",2002,"actual","financing",,,,,,,
"AF",2002,"actual","financing","net-domestic-finance","bank-financing","claims-on-government",,,,
"AF",2002,"actual","total-revenue-and-grants","grants","grants-to-development-budget",,,,,
"AF",2002,"actual","financing","net-domestic-finance","bank-financing","domestic-debt-sukuk",,,,
"AF",2002,"actual","total-revenue-and-grants","revenue","tax-revenue",,,,,
"AF",2002,"actual","financing","net-domestic-finance",,,,,,
"AF",2003,"actual","total-expenditure",,,,,,360446525.915602,1.5514e+10
"AF",2003,"actual","total-expenditure","development-expenditure","economic-governance-and-private-sector-development",,,,,
"AF",2003,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","afghanistan-reconstruction-trust-fund",,,,
"AF",2003,"actual","total-expenditure","recurrent-expenditure","pensions",,,,,
"AF",2003,"actual","total-expenditure","development-expenditure",,,,,,
"AF",2003,"actual","total-expenditure","development-expenditure","governance-rule-of-law-and-human-rights",,,,,
"AF",2003,"actual","total-expenditure","recurrent-expenditure","interest-payments",,,,,
"AF",2003,"actual","total-revenue-and-grants","revenue","tax-revenue","taxes-on-goods-and-services",,,,
"AF",2003,"actual","total-expenditure","recurrent-expenditure","capital-expenditures",,,,,
"AF",2003,"actual","total-expenditure","development-expenditure","other",,,,,
"AF",2003,"actual","total-revenue-and-grants","revenue","tax-revenue","other-taxes",,,,
"AF",2003,"actual","total-expenditure","recurrent-expenditure",,,,,360446525.915602,1.5514e+10
"AF",2003,"actual","financing","net-domestic-finance","bank-financing",,,,,
"AF",2003,"actual","total-revenue-and-grants","grants","grants-to-development-budget",,,,,
"AF",2003,"actual","total-expenditure","recurrent-expenditure","wages-and-salaries",,,,,
"AF",2003,"actual","financing","net-domestic-finance","bank-financing","government-deposits",,,,
"AF",2003,"actual","total-expenditure","development-expenditure","social-protection",,,,,
"AF",2003,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","other-grants",,,,
"AF",2003,"actual","total-expenditure","development-expenditure","infrastructure-and-natural-resources",,,,,
"AF",2003,"actual","financing","net-domestic-finance",,,,,20352659.3207469,8.76e+08
"AF",2003,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","combined-security-transition-command-afghanistan",,,,
"AF",2003,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,,
"AF",2003,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","the-law-and-order-trust-fund-forafghanistan",,,,
"AF",2003,"actual","financing","net-domestic-finance","bank-financing","claims-on-government",,,,
"AF",2003,"actual","total-revenue-and-grants",,,,,,355335127.456053,1.5294e+10
"AF",2003,"actual","total-expenditure","recurrent-expenditure","goods-and-services",,,,,
"AF",2003,"actual","total-revenue-and-grants","revenue","tax-revenue","international-trade-taxes",,,,
"AF",2003,"actual","total-expenditure","development-expenditure","health",,,,,
"AF",2003,"actual","total-revenue-and-grants","grants",,,,,219093124.87973,9.43e+09
"AF",2003,"actual","total-revenue-and-grants","grants","grants-to-operating-budget",,,,219093124.87973,9.43e+09
"AF",2003,"actual","total-expenditure","development-expenditure","agriculture-and-rural-development",,,,,
"AF",2003,"actual","total-revenue-and-grants","grants","grants-to-operating-budget","nato-training-missionafghanistan",,,,
"AF",2003,"actual","total-revenue-and-grants","revenue",,,,,136242002.576324,5.864e+09
