"di_id","year","budget.type","l1","l2","l3","l4","l5","l6","value","magnitude","child.value.sum","absdiff"
"TD",2017,"actual","financing","net-external-finance",,,,,7.8,1e+10,23.7,15.9
"CM",2007,"actual","total-expenditure",,,,,,-0.12,1e+11,15.54,15.66
"IN",2009,"actual","total-expenditure","recurrent-expenditure",,,,,19.1489352,1e+12,3.8142188,15.3347164
"UA",2007,"actual","total-expenditure","recurrent-expenditure",,,,,27.5594,1e+10,12.2347,15.3247
"VN",2014,"actual","financing","net-external-finance",,,,,9.7,1e+13,24.8,15.1
"SS",2013,"actual","total-expenditure","recurrent-expenditure","other-recurrent","transfers-to-states",,,16,1e+08,1,15
"NP",2011,"actual","total-expenditure","recurrent-expenditure",,,,,20.8,1e+10,5.8,15
"BF",2008,"actual","financing",,,,,,0,1e+10,14.34,14.34
"CM",2006,"actual","total-expenditure",,,,,,-0.05,1e+11,13.7,13.75
"NP",2010,"actual","total-expenditure","recurrent-expenditure",,,,,18.62,1e+10,5.19,13.43
"CM",2004,"actual","total-expenditure",,,,,,-0.05,1e+11,13.36,13.41
"NE",2007,"actual","total-revenue-and-grants","revenue","tax-revenue",,,,23.32,1e+10,10.07,13.25
"BR",2018,"proj","total-revenue-and-grants","revenue","other-revenue",,,,7.224,1e+11,20.3648,13.1408
"CM",2003,"actual","total-expenditure",,,,,,0,1e+11,12.85,12.85
"IN",2008,"actual","total-expenditure","recurrent-expenditure",,,,,16.0650184,1e+12,3.238915,12.8261034
"BR",2017,"actual","total-revenue-and-grants","revenue","other-revenue",,,,6.95254,1e+11,19.54582,12.59328
"MG",2018,"proj","financing","net-external-finance",,,,,7.70488,1e+11,20.276,12.57112
"CM",2005,"actual","total-expenditure",,,,,,0.17,1e+11,12.61,12.44
"ve",2013,"proj","total-expenditure","current-expenditure",,,,,56.031119,1e+10,68.4397606,12.4086416
"ve",2013,"proj","total-expenditure",,,,,,68.4397606,1e+10,56.031119,12.4086416
"UA",2006,"actual","total-expenditure","recurrent-expenditure",,,,,21.7888,1e+10,9.4272,12.3616
"CM",2002,"actual","total-expenditure",,,,,,0,1e+11,12.31,12.31
"BR",2016,"actual","total-revenue-and-grants","revenue","other-revenue",,,,6.38316,1e+11,18.64884,12.26568
"NP",2009,"actual","total-expenditure","recurrent-expenditure",,,,,16.18,1e+10,4.26,11.92
"BR",2015,"actual","total-revenue-and-grants","revenue","other-revenue",,,,6.12058344,1e+11,17.64168168,11.52109824
"BR",2014,"actual","total-revenue-and-grants","revenue","other-revenue",,,,5.9716755,1e+11,17.1756762,11.2040007
"None",2022,"proj","total-revenue-and-grants","revenue","tax","production-and-consumption",,,23.9024,1e+10,12.8272,11.0752
"AZ",2012,"actual","total-expenditure","recurrent-expenditures",,,,,11.108,1e+09,0.098,11.01
"BF",2002,"actual","financing",,,,,,0,1e+10,11,11
"ZM",2022,"proj","total-expenditure","capital-expenditure",,,,,20.366,1e+09,9.513,10.853
"ZM",2022,"proj","total-expenditure",,,,,,91.081,1e+09,101.934,10.853
"BF",2001,"actual","financing",,,,,,0,1e+10,10.75,10.75
"None",2021,"proj","total-revenue-and-grants","revenue","tax","production-and-consumption",,,22.2801,1e+10,11.9476,10.3325
"CV",2013,"actual","financing",,,,,,12.21,1e+09,1.888,10.322
"UA",2005,"actual","total-expenditure","recurrent-expenditure",,,,,17.6334,1e+10,7.4454,10.188
"ML",2005,"actual","financing","net-external-finance","loans",,,,11.93,1e+10,1.93,10
