"di_id","year","budget.type","l1","l2","l3","l4","l5","l6","value","magnitude","child.value.sum","absdiff"
"GA",2014,"actual","financing",,,,,,-2.11,1e+11,0.24,2.35
"FM",2002,"actual","total-expenditure","recurrent-expenditure",,,,,11.97,1e+07,14.3,2.33
"FM",2008,"actual","total-expenditure","recurrent-expenditure",,,,,13.11,1e+07,15.42,2.31
"GE",2003,"actual","total-revenue-and-grants",,,,,,13.901,1e+08,16.202,2.301
"TL",2019,"proj","total-revenue-and-grants","revenue",,,,,9.009,1e+08,6.72,2.289
"NE",2019,"proj","total-revenue-and-grants","grants",,,,,4.536,1e+11,6.815,2.279
"BF",2015,"actual","financing",,,,,,0,1e+11,2.21,2.21
"HN",2009,"actual","financing",,,,,,16.662,1e+09,18.85,2.188
"HN",2009,"actual","financing","domestic-financing",,,,,14.086,1e+09,11.898,2.188
"DJ",2011,"actual","financing","net-domestic-finance",,,,,2.091,1e+09,4.278,2.187
"TL",2018,"proj","total-revenue-and-grants","revenue",,,,,9.106,1e+08,6.957,2.149
"TJ",2019,"proj","financing",,,,,,1.446033,1e+09,3.577029,2.130996
"RW",2011,"actual","financing","net-domestic-finance",,,,,4.36,1e+10,6.49,2.13
"AL",2008,"actual","total-revenue-and-grants","revenue","tax-revenue","excise-tax",,,3.25,1e+10,1.13,2.12
"TJ",2017,"proj","financing","net-external-finance",,,,,3.068625,1e+09,1.002,2.066625
"MR",2015,"actual","total-revenue-and-grants","grants",,,,,2.83,1e+07,0.78,2.05
"TD",2005,"actual","total-revenue-and-grants","revenue",,,,,28.97,1e+10,26.93,2.04
"TD",2010,"actual","financing","net-external-finance",,,,,1.57,1e+11,3.59,2.02
"SS",2013,"actual","total-revenue-and-grants",,,,,,40,1e+08,42,2
"FM",2010,"actual","total-revenue-and-grants","grants","current",,,,8.61,1e+07,6.61,2
"NE",2018,"proj","total-revenue-and-grants","grants",,,,,3.796,1e+11,5.761,1.965
"ZM",2017,"proj","total-expenditure","capital-expenditure",,,,,4.611,1e+09,6.564,1.953
"MG",2009,"actual","financing","net-external-finance",,,,,1.231,1e+11,3.184,1.953
"FM",2007,"actual","total-expenditure","recurrent-expenditure",,,,,13.26,1e+07,15.21,1.95
"BF",2010,"actual","financing",,,,,,0,1e+11,1.949,1.949
"AL",2007,"actual","total-revenue-and-grants","revenue","tax-revenue","excise-tax",,,2.87,1e+10,0.93,1.94
"MG",2010,"actual","financing","net-external-finance",,,,,1.324,1e+11,3.252,1.928
"ZM",2015,"actual","financing","net-external-finance",,,,,13.365,1e+09,15.276,1.911
"SS",2017,"proj","total-expenditure","recurrent-expenditure","other-recurrent","transfers-to-states",,,4.6,1e+09,6.5,1.9
"ve",2014,"proj","total-expenditure","current-expenditure",,,,,9.02186934,1e+11,10.88303836,1.86116902
"ve",2014,"proj","total-expenditure",,,,,,10.88303836,1e+11,9.02186934,1.86116902
"TG",2012,"actual","total-expenditure","recurrent-expenditure","other-current",,,,0,1e+10,1.86,1.86
"NE",2015,"actual","total-revenue-and-grants","grants",,,,,2.326,1e+11,4.163,1.837
"TD",2004,"actual","total-revenue-and-grants","revenue",,,,,19.8,1e+10,17.97,1.83
"MG",2011,"actual","financing","net-external-finance",,,,,0.959,1e+11,2.784,1.825
"TL",2020,"proj","total-revenue-and-grants","revenue",,,,,7.64,1e+08,5.828,1.812
"JO",2014,"actual","financing","net-domestic-finance",,,,,9.78,1e+08,11.56,1.78
"GM",2010,"actual","financing","net-domestic-finance",,,,,7.64,1e+08,5.86,1.78
"KE",2018,"proj","total-expenditure","development-expenditure","externally-financed",,,,2.476,1e+11,0.72,1.756
"BI",2015,"actual","total-expenditure","recurrent-expenditure",,,,,80.7413813766,1e+10,79.0227721081,1.7186092685
"BI",2015,"actual","total-expenditure",,,,,,98.9288893467501,1e+10,100.64749861525,1.7186092685
"FM",2011,"actual","total-revenue-and-grants","grants","current",,,,8.4,1e+07,6.69,1.71
"MR",2019,"proj","total-revenue-and-grants","grants",,,,,2.08,1e+07,0.37,1.71
"NE",2016,"actual","total-revenue-and-grants","grants",,,,,2.703,1e+11,4.412,1.709
"SB",2002,"actual","total-expenditure","recurrent-expenditure",,,,,37.61,1e+07,35.91,1.7
"MG",2012,"actual","financing","net-external-finance",,,,,0.98,1e+11,2.67,1.69
"ML",2002,"actual","total-revenue-and-grants","grants",,,,,8.58,1e+10,6.92,1.66
"CG",2015,"actual","total-expenditure","capital-expenditure",,,,,11.925,1e+11,10.271,1.654
"BF",2013,"actual","financing",,,,,,0,1e+11,1.625,1.625
"NE",2017,"actual","total-revenue-and-grants","grants",,,,,3.422,1e+11,5.036,1.614
"MR",2020,"proj","total-revenue-and-grants","grants",,,,,2.02,1e+07,0.41,1.61
"VN",2009,"actual","financing","net-external-finance",,,,,9.3,1e+13,10.9,1.6
"ZM",2012,"actual","total-revenue-and-grants","revenue","other-revenue",,,,3.042,1e+09,1.459,1.583
"DJ",2002,"actual","financing","net-domestic-finance",,,,,1.578,1e+09,3.156,1.578
"BF",2016,"actual","financing",,,,,,0,1e+11,1.568,1.568
"KG",2017,"proj","total-revenue-and-grants","grants",,,,,2.3558,1e+10,0.7983,1.5575
"BF",2012,"actual","financing",,,,,,0,1e+11,1.502,1.502
"CG",2016,"actual","total-expenditure","capital-expenditure",,,,,6.248,1e+11,4.792,1.456
"AO",2011,"actual","financing","net-external-finance",,,,,-0.94,1e+11,0.51,1.45
"MG",2001,"actual","financing","net-external-finance",,,,,1.274,1e+11,2.72,1.446
"ZM",2016,"actual","total-expenditure","capital-expenditure",,,,,3.357,1e+09,4.8,1.443
"LK",2007,"actual","financing","net-domestic-financing",,,,,13.2411456,1e+10,14.6726208,1.4314752
"MR",2022,"proj","financing","net-external-finance","other",,,,1.4,1e+07,2.8,1.4
"GM",2014,"actual","financing","net-domestic-finance",,,,,5.536,1e+09,4.162,1.374
"ZM",2022,"proj","total-expenditure","capital-expenditure",,,,,10.853,1e+09,9.513,1.34
"AO",2016,"actual","financing","net-external-finance",,,,,12.09,1e+11,13.41,1.32
"TD",2001,"actual","total-revenue-and-grants","revenue",,,,,9.17,1e+10,7.86,1.31
"FM",2005,"actual","total-expenditure","recurrent-expenditure",,,,,13.62,1e+07,14.9,1.28
"TD",2007,"actual","total-revenue-and-grants","revenue",,,,,76.49,1e+10,75.21,1.27999999999999
"SL",2012,"actual","total-revenue-and-grants","grants",,,,,6.33,1e+11,5.06,1.27
"XK",2019,"proj","total-expenditure",,,,,,20.13,1e+08,21.4,1.27
"MR",2018,"proj","total-revenue-and-grants","grants",,,,,1.59,1e+07,0.34,1.25
"MR",2022,"proj","total-revenue-and-grants","grants",,,,,1.66,1e+07,0.41,1.25
"AL",2015,"actual","financing",,,,,,6.55,1e+10,5.3,1.25
"KE",2016,"actual","total-expenditure","development-expenditure","externally-financed",,,,1.755,1e+11,0.524,1.231
"KE",2017,"proj","total-expenditure","development-expenditure","externally-financed",,,,1.947,1e+11,0.736,1.211
"NE",2014,"actual","total-revenue-and-grants","grants",,,,,2.221,1e+11,3.423,1.202
"AL",2006,"actual","total-revenue-and-grants","revenue","tax-revenue","excise-tax",,,2.3,1e+10,1.11,1.19
"TD",2000,"actual","total-revenue-and-grants","revenue",,,,,8.02,1e+10,6.83,1.19
"SZ",2008,"actual","total-expenditure",,,,,,96.69,1e+08,97.88,1.19
"KE",2015,"actual","total-expenditure","development-expenditure","externally-financed",,,,2.404,1e+11,1.235,1.169
"TD",2002,"actual","total-revenue-and-grants","revenue",,,,,11.24,1e+10,10.09,1.15
"NG",2017,"actual","total-expenditure","federal-government-expenditure",,,,,6.421,1e+12,7.564,1.143
"TG",2011,"actual","total-expenditure","recurrent-expenditure","other-current",,,,0.009,1e+10,1.151,1.142
"TD",2003,"actual","total-revenue-and-grants","revenue",,,,,12.46,1e+10,11.34,1.12
"NG",2012,"actual","total-expenditure","extrabudgetary-funds",,,,,1.804,1e+12,0.688,1.116
"MR",2021,"proj","total-revenue-and-grants","grants",,,,,1.52,1e+07,0.41,1.11
"MR",2010,"actual","total-revenue-and-grants","grants",,,,,1.16,1e+10,0.06,1.1
"TD",2006,"actual","total-revenue-and-grants","revenue",,,,,55.8,1e+10,54.71,1.09
"NE",2006,"actual","total-revenue-and-grants","revenue","tax-revenue",,,,2.038,1e+11,0.958,1.08
"BF",2011,"actual","financing",,,,,,0,1e+11,1.051,1.051
"ZM",2014,"actual","financing","net-external-finance",,,,,8.181,1e+09,7.147,1.034
"KG",2018,"proj","total-revenue-and-grants","grants",,,,,1.8724,1e+10,0.8414,1.031
"NE",2013,"actual","total-revenue-and-grants","grants",,,,,3.049,1e+11,4.069,1.02
"CD",2016,"actual","financing","net-external-finance",,,,,1.773078,1e+11,2.783104,1.010026
"TZ",2000,"actual","financing","net-domestic-finance",,,,,0.211,1e+11,1.217,1.006
"TJ",2017,"proj","financing",,,,,,4.070625,1e+09,3.068625,1.002
"SS",2015,"actual","total-expenditure","recurrent-expenditure","other-recurrent","transfers-to-states",,,1.6,1e+09,2.6,1
"SS",2013,"actual","total-expenditure","recurrent-expenditure","other-recurrent",,,,35,1e+08,34,1
"SN",2014,"budget","total-expenditure","capital-expenditure",,,,,9.42,1e+11,10.42,1
"SS",2013,"actual","total-expenditure",,,,,,93,1e+08,92,1
"ET",2006,"actual","total-revenue-and-grants","grants",,,,,4.721,1e+09,3.732,0.989
"TJ",2015,"actual","financing",,,,,,-0.048402,1e+09,0.919638,0.96804
"MR",2013,"actual","total-revenue-and-grants","grants",,,,,1.13,1e+07,0.18,0.95
"GN",2017,"actual","financing","net-domestic-finance",,,,,1.1,1e+12,0.16,0.94
"ML",2023,"proj","total-revenue-and-grants",,,,,,29.13,1e+11,30.066,0.936000000000003
"HN",2002,"actual","financing","domestic-financing",,,,,4.650012,1e+09,3.745843,0.904169
"HN",2002,"actual","financing",,,,,,6.975018,1e+09,7.879187,0.904169
"GM",2020,"proj","financing","net-domestic-finance",,,,,0.008,1e+09,0.89,0.882
"FM",2006,"actual","total-expenditure","recurrent-expenditure",,,,,14.44,1e+07,15.32,0.880000000000001
"RW",2020,"proj","total-revenue-and-grants","revenue","nontax-revenue",,,,1.947,1e+11,1.089,0.858
"XK",2021,"proj","total-expenditure",,,,,,22.37,1e+08,23.22,0.849999999999998
"MR",2017,"actual","total-revenue-and-grants","grants",,,,,1.28,1e+07,0.44,0.84
"ML",2015,"actual","total-revenue-and-grants",,,,,,14.811,1e+11,15.651,0.84
"MV",2011,"actual","financing","net-external-finance",,,,,1.485,1e+09,2.321,0.836
"ML",2017,"actual","total-revenue-and-grants",,,,,,17.18,1e+11,18,0.82
"ML",2021,"proj","total-revenue-and-grants",,,,,,24.212,1e+11,25.032,0.82
"HN",2004,"actual","financing","domestic-financing",,,,,0,1e+09,0.80754,0.80754
"BI",2005,"actual","total-revenue-and-grants","grants",,,,,10.08,1e+10,9.29,0.790000000000001
"ML",2020,"proj","total-revenue-and-grants",,,,,,22.2,1e+11,22.966,0.765999999999998
"RW",2019,"proj","total-revenue-and-grants","revenue","nontax-revenue",,,,1.804,1e+11,1.04,0.764
"TD",2021,"proj","financing","net-external-finance",,,,,-0.56,1e+11,0.2,0.76
"ML",2019,"proj","total-revenue-and-grants",,,,,,20.393,1e+11,21.113,0.720000000000002
"ML",2016,"actual","total-revenue-and-grants",,,,,,15.222,1e+11,15.942,0.720000000000001
"AL",2005,"actual","total-revenue-and-grants","revenue","tax-revenue","excise-tax",,,1.85,1e+10,1.13,0.72
"SB",2006,"actual","total-expenditure","recurrent-expenditure",,,,,7.64,1e+08,6.92,0.72
"GM",2020,"proj","financing","net-domestic-finance",,,,,0.184,1e+09,0.89,0.706
"GM",2020,"proj","financing","net-domestic-finance",,,,,0.184,1e+09,0.89,0.706
"SB",2018,"proj","total-expenditure","recurrent-expenditure",,,,,33.74,1e+08,33.04,0.700000000000003
"SB",2019,"proj","total-expenditure","recurrent-expenditure",,,,,35.82,1e+08,35.13,0.689999999999998
"RW",2018,"proj","total-revenue-and-grants","revenue","nontax-revenue",,,,1.841,1e+11,1.155,0.686
"GA",2015,"actual","financing",,,,,,3.41,1e+11,4.09,0.68
"ML",2018,"proj","total-revenue-and-grants",,,,,,19.489,1e+11,20.168,0.678999999999998
"XK",2018,"proj","total-expenditure",,,,,,19.33,1e+08,20,0.670000000000002
"AL",2004,"actual","total-revenue-and-grants","revenue","tax-revenue","excise-tax",,,1.58,1e+10,0.91,0.67
"NG",2011,"actual","total-expenditure","extrabudgetary-funds",,,,,1.632,1e+12,0.975,0.657
"XK",2020,"proj","total-expenditure",,,,,,21.16,1e+08,21.8,0.640000000000001
"CF",2017,"actual","financing","net-domestic-finance",,,,,0.7,1e+10,0.06,0.64
"KI",2004,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,3.53,1e+07,2.89,0.64
"ZM",2011,"actual","total-revenue-and-grants","revenue","other-revenue",,,,1.501,1e+09,0.868,0.633
"KI",2005,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,3.13,1e+07,2.5,0.63
"MR",2007,"actual","total-revenue-and-grants","grants",,,,,1.63,1e+10,1,0.63
"TL",2008,"actual","total-expenditure","recurrent-expenditure",,,,,3.58,1e+08,2.95,0.63
"SB",2005,"actual","total-expenditure","recurrent-expenditure",,,,,5.64,1e+08,5.02,0.62
"AL",2000,"actual","total-revenue-and-grants","revenue","tax-revenue","excise-tax",,,0.9153,1e+10,0.2956,0.6197
"ML",2014,"actual","total-revenue-and-grants",,,,,,12.151,1e+11,12.767,0.616
"SL",2011,"actual","total-revenue-and-grants","grants",,,,,7.09,1e+11,6.48,0.609999999999999
"TL",2006,"actual","total-expenditure","recurrent-expenditure",,,,,6.6,1e+07,6,0.6
"XK",2022,"proj","total-revenue-and-grants","revenue",,,,,22.18,1e+08,22.76,0.579999999999998
"AL",2001,"actual","total-revenue-and-grants","revenue","tax-revenue","excise-tax",,,0.9544,1e+10,0.401,0.5534
"XK",2021,"proj","total-revenue-and-grants","revenue",,,,,21.02,1e+08,21.57,0.550000000000001
"KI",2008,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,3.77,1e+07,3.22,0.55
"BR",2015,"actual","total-expenditure","federal-government","recurrent-expenditure",,,,11.58110396,1e+11,11.04105248,0.540051480000001
"HN",2000,"actual","financing","domestic-financing",,,,,4.692776,1e+09,4.159506,0.53327
"HN",2000,"actual","financing",,,,,,6.079278,1e+09,6.612548,0.53327
"RW",2017,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,1.814,1e+11,1.285,0.529
"CM",2004,"actual","financing","net-external-finance","drawings",,,,0.94,1e+11,0.43,0.51
"HN",2011,"actual","financing",,,,,,10.728,1e+09,10.219,0.509
"HN",2011,"actual","financing","domestic-financing",,,,,2.353,1e+09,2.861,0.507999999999999
"TL",2005,"actual","total-expenditure","recurrent-expenditure",,,,,5.6,1e+07,5.1,0.5
"SZ",2001,"actual","total-expenditure",,,,,,34.554,1e+08,34.095,0.459000000000003
"XK",2018,"proj","total-revenue-and-grants","revenue",,,,,18.1,1e+08,18.55,0.449999999999999
"RW",2016,"actual","total-revenue-and-grants","revenue","nontax-revenue",,,,1.676,1e+11,1.229,0.447
"MW",2002,"actual","total-revenue-and-grants","revenue","tax-revenue",,,,20.817,1e+09,20.381,0.436
"HN",2003,"actual","financing","domestic-financing",,,,,5.569902,1e+09,5.141448,0.428454
"VN",2016,"actual","financing","net-external-finance",,,,,0.53,1e+14,0.11,0.42
"MR",2021,"proj","financing","net-external-finance","other",,,,0.42,1e+07,0.84,0.42
"TJ",2018,"proj","financing",,,,,,3.727998,1e+09,3.313776,0.414222
"XK",2013,"actual","total-revenue-and-grants","revenue",,,,,13.13,1e+08,13.51,0.379999999999999
"HN",2005,"actual","financing","domestic-financing",,,,,0.183748,1e+09,0.551244,0.367496
"MR",2018,"proj","financing","net-external-finance","other",,,,0.36,1e+07,0.72,0.36
"ML",2018,"proj","total-revenue-and-grants","grants",,,,,1.146,1e+11,1.503,0.357
"ML",2018,"proj","total-revenue-and-grants","grants","budget-support-grants",,,,0.693,1e+11,0.336,0.357
"HN",2001,"actual","financing",,,,,,7.223376,1e+09,7.578624,0.355248
"XK",2014,"actual","total-revenue-and-grants","revenue",,,,,13.33,1e+08,13.66,0.33
"NG",2018,"proj","total-expenditure","federal-government-expenditure",,,,,8.255,1e+12,8.584,0.328999999999999
"MR",2019,"proj","financing","net-external-finance","other",,,,0.32,1e+07,0.639999999999999,0.319999999999999
"DJ",2003,"actual","financing","net-domestic-finance",,,,,0.212,1e+09,0.52,0.308
"SS",2012,"actual","total-expenditure","capital-expenditure",,,,,2.3,1e+09,2.6,0.3
"SL",2008,"actual","total-revenue-and-grants","grants",,,,,2.65,1e+11,2.36,0.29
"MW",2000,"actual","total-revenue-and-grants","revenue","tax-revenue",,,,14.624,1e+09,14.354,0.270000000000001
"MR",2008,"actual","total-revenue-and-grants","grants",,,,,0.65,1e+10,0.4,0.25
"GM",2012,"actual","financing","net-domestic-finance",,,,,9.69,1e+08,9.44,0.249999999999998
"BO",2009,"actual","total-expenditure","recurrent-expenditure","other-expense",,,,1.7038,1e+09,1.4604,0.2434
"MR",2009,"actual","total-revenue-and-grants","grants",,,,,0.61,1e+10,0.37,0.24
"NG",2020,"proj","total-expenditure","federal-government-expenditure","federal-government-recurrent-expenditure",,,,8.61,1e+12,8.376,0.234
"BO",2014,"actual","total-expenditure","recurrent-expenditure",,,,,64.296,1e+09,64.524,0.227999999999994
"BO",2014,"actual","total-expenditure",,,,,,98.724,1e+09,98.496,0.227999999999994
"BO",2013,"actual","total-expenditure",,,,,,81.3696,1e+09,81.5815,0.2119
"AL",2007,"actual","total-expenditure","recurrent-expenditure","interest",,,,2.56,1e+10,2.35,0.21
"NG",2018,"proj","total-revenue-and-grants","revenue",,,,,10.623,1e+12,10.423,0.199999999999999
"BO",2012,"actual","total-revenue-and-grants","revenue","tax-revenue",,,,59.5296,1e+09,59.3424,0.187200000000004
"BO",2012,"actual","total-expenditure",,,,,,67.392,1e+09,67.5792,0.187200000000004
"AL",2005,"actual","total-expenditure","recurrent-expenditure","interest",,,,2.6,1e+10,2.42,0.18
"UA",2015,"actual","total-expenditure","recurrent-expenditure","social-benefits",,,,36.4,1e+10,36.57,0.170000000000002
"UA",2015,"actual","total-expenditure","recurrent-expenditure",,,,,80.61,1e+10,80.45,0.159999999999997
"BI",2016,"actual","total-expenditure",,,,,,10.4403868564344,1e+11,10.5972868564343,0.156899999999951
"NG",2020,"proj","total-expenditure","federal-government-expenditure",,,,,10.42,1e+12,10.572,0.151999999999999
"BO",2010,"actual","total-expenditure",,,,,,43.4385,1e+09,43.5764,0.137900000000002
"BO",2010,"actual","financing","net-external-finance",,,,,1.379,1e+09,1.5169,0.137900000000001
"IN",2015,"actual","financing","net-domestic-finance",,,,,9.4971876,1e+12,9.634828,0.1376404
"BO",2009,"actual","total-expenditure",,,,,,43.5686,1e+09,43.4469,0.121700000000004
"BI",2017,"actual","total-expenditure",,,,,,11.3947590490661,1e+11,11.5160014250361,0.121242375970018
"LR",2001,"actual","total-revenue-and-grants",,,,,,69.5,1e+06,69.4,0.100000000000009
"NP",2017,"proj","total-revenue-and-grants","revenue",,,,,56.5,1e+10,56.6,0.100000000000001
"SN",2004,"actual","total-expenditure","recurrent-expenditure",,,,,56.5,1e+10,56.6,0.100000000000001
"TJ",2000,"actual","total-expenditure","recurrent-expenditure",,,,,22.5,1e+07,22.6,0.100000000000001
"MZ",2023,"proj","total-expenditure",,,,,,44.44,1e+10,44.54,0.100000000000001
"NP",2012,"actual","total-expenditure",,,,,,29.5,1e+10,29.4,0.100000000000001
"SD",2013,"actual","total-expenditure",,,,,,41.5,1e+09,41.4,0.100000000000001
"CG",2001,"actual","financing","net-domestic-finance",,,,,2.6,1e+10,2.5,0.1
"GW",2011,"actual","total-expenditure","recurrent-expenditure","interest-payments",,,,0.6,1e+09,0.5,0.1
"SD",2014,"actual","total-expenditure","recurrent-expenditure","subsidies",,,,10.5,1e+09,10.6,0.0999999999999996
"CV",2002,"actual","total-expenditure","recurrent-expenditure",,,,,15.5,1e+09,15.4,0.0999999999999996
"GW",2003,"actual","financing","net-external-finance",,,,,9.4,1e+09,9.5,0.0999999999999996
"TD",2016,"actual","total-revenue-and-grants","grants",,,,,14.5,1e+10,14.6,0.0999999999999996
"GA",2016,"actual","financing",,,,,,5.49,1e+11,5.59,0.0999999999999996
"PK",2003,"actual","financing",,,,,,6.6,1e+10,6.5,0.0999999999999996
"NP",2019,"proj","total-revenue-and-grants","revenue",,,,,70.6,1e+10,70.5,0.0999999999999943
"BF",2003,"actual","total-revenue-and-grants",,,,,,43.5,1e+10,43.4,0.0999999999999943
"NP",2016,"actual","total-expenditure",,,,,,49.5,1e+10,49.4,0.0999999999999943
"NP",2020,"proj","total-revenue-and-grants",,,,,,84.6,1e+10,84.5,0.0999999999999943
"MY",2005,"actual","total-revenue-and-grants","revenue","taxes",,,,8.4798012,1e+10,8.5341589,0.0543576999999988
"CM",2021,"proj","total-expenditure","recurrent-expenditure",,,,,27.5,1e+11,27.49,0.0100000000000016
"AO",2014,"actual","total-expenditure","recurrent-expenditure","interest-payments",,,,1.49,1e+11,1.5,0.01
"CM",2007,"actual","total-expenditure","recurrent-expenditure","interest",,,,0.5,1e+11,0.51,0.01
"CF",2019,"proj","total-revenue-and-grants","revenue","tax-revenue",,,,11.49,1e+10,11.5,0.00999999999999979
"SO",2013,"actual","total-revenue-and-grants","revenue","tax-revenue",,,,6.51,1e+07,6.5,0.00999999999999979
"GY",2012,"actual","total-expenditure","recurrent-expenditure",,,,,11.49,1e+10,11.5,0.00999999999999979
"MR",2003,"actual","financing","net-domestic-finance",,,,,2.51,1e+10,2.5,0.00999999999999979
"SB",2021,"proj","total-revenue-and-grants","grants",,,,,13.5,1e+08,13.49,0.00999999999999979
"TG",2012,"actual","financing","net-domestic-finance",,,,,8.51,1e+10,8.5,0.00999999999999979
"CM",2002,"actual","total-revenue-and-grants",,,,,,13.5,1e+11,13.49,0.00999999999999979
"MR",2005,"actual","financing",,,,,,3.49,1e+10,3.5,0.00999999999999979
"DZ",2014,"actual","total-revenue-and-grants","revenue","non-resource-revenue",,,,23.5,1e+11,23.49,0.00999999999999801
"AM",2006,"actual","total-revenue-and-grants","revenue",,,,,46.51,1e+10,46.5,0.00999999999999801
"BJ",2008,"actual","total-expenditure","recurrent-expenditure",,,,,46.51,1e+10,46.5,0.00999999999999801
"JO",2013,"actual","total-expenditure","recurrent-expenditures",,,,,60.5,1e+08,60.51,0.00999999999999801
"MN",2016,"actual","financing","net-domestic-finance",,,,,28.5,1e+11,28.51,0.00999999999999801
"PG",2005,"actual","total-expenditure","recurrent-expenditure",,,,,30.5,1e+08,30.51,0.00999999999999801
"ZM",2003,"actual","total-expenditure","recurrent-expenditure",,,,,39.5,1e+08,39.49,0.00999999999999801
"KI",2018,"proj","total-revenue-and-grants",,,,,,33.5,1e+07,33.49,0.00999999999999801
"GH",2019,"proj","total-revenue-and-grants","revenue",,,,,0.50408,1e+11,0.49809,0.00598999999999994
"LA",2014,"actual","total-revenue-and-grants","revenue","tax-revenue",,,,15.5,1e+12,15.499,0.000999999999999446
"UG",2016,"actual","total-revenue-and-grants","revenue",,,,,11.5,1e+12,11.499,0.000999999999999446
"SS",2016,"actual","financing","net-external-finance",,,,,1.5,1e+09,1.5,2.22044604925031e-16
