"di_id","year","value","budget.type"
"AE","2000",,"actual"
"AE","2001",,"actual"
"AE","2002",,"actual"
"AE","2003",,"actual"
"AE","2004",,"actual"
"AE","2005",,"actual"
"AE","2006",,"actual"
"AE","2007",,"actual"
"AE","2008",,"actual"
"AE","2009",,"actual"
"AE","2010",,"actual"
"AE","2011",,"actual"
"AE","2012",39.955859672115,"actual"
"AE","2013",40.6529580623834,"actual"
"AE","2014",37.1772819456178,"actual"
"AE","2015",29.4697573651572,"actual"
"AE","2016",28.2956994284643,"actual"
"AE","2017",27.3927735598053,"proj"
"AE","2018",26.8374992396372,"proj"
"AF","2000",,"actual"
"AF","2001",,"actual"
"AF","2002",,"actual"
"AF","2003",6.95140741683446,"actual"
"AF","2004",10.0775760529629,"actual"
"AF","2005",11.8176213245181,"actual"
"AF","2006",16.3959550860715,"actual"
"AF","2007",15.0878957648627,"actual"
"AF","2008",16.7726551615527,"actual"
"AF","2009",15.4143343428405,"actual"
"AF","2010",17.758820050045,"actual"
"AF","2011",21.2742549227358,"actual"
"AF","2012",25.2130678382455,"actual"
"AF","2013",24.3457581165212,"actual"
"AF","2014",23.6847644075977,"actual"
"AF","2015",24.5448933754848,"actual"
"AF","2016",26.0861068757797,"actual"
"AF","2017",24.4513048431446,"actual"
"AF","2018",23.133974696236,"proj"
"AF","2019",25.0457270142523,"proj"
"AF","2020",26.3895779500909,"proj"
"AF","2021",27.8427798817598,"proj"
"AF","2022",28.8889466039139,"proj"
"AF","2023",29.7615917276743,"proj"
"AG","2000",17.7599286033021,"actual"
"AG","2001",17.0444033302498,"actual"
"AG","2002",19.1450659390632,"actual"
"AG","2003",18.6277056277056,"actual"
"AG","2004",19.2307692307692,"actual"
"AG","2005",19.2753623188406,"actual"
"AG","2006",21.8629961587708,"actual"
"AG","2007",21.349901157865,"actual"
"AG","2008",21.0284167794317,"actual"
"AG","2009",18.4266263237519,"actual"
"AG","2010",22.1401028277635,"actual"
"AG","2011",20.201037613489,"actual"
"AG","2012",20.483032711709,"actual"
"AG","2013",18.7519403911829,"actual"
"AG","2014",19.8206018518519,"actual"
"AG","2015",23.6092265943012,"actual"
"AG","2016",24.1248097412481,"actual"
"AG","2017",19.8541919805589,"proj"
"AG","2018",,"proj"
"AG","2019",,"proj"
"AG","2020",,"proj"
"AL","2000",25.1598666397978,"actual"
"AL","2001",24.6962901700065,"actual"
"AL","2002",25.2909938508814,"actual"
"AL","2003",24.5817705366971,"actual"
"AL","2004",24.9709891873719,"actual"
"AL","2005",25.3431207354728,"actual"
"AL","2006",25.9414369768601,"actual"
"AL","2007",25.6957851041088,"actual"
"AL","2008",26.9183363006118,"actual"
"AL","2009",26.076633657827,"actual"
"AL","2010",25.8703096451,"actual"
"AL","2011",25.4108797008205,"actual"
"AL","2012",24.7972143087054,"actual"
"AL","2013",23.9842435815483,"actual"
"AL","2014",26.2738254360158,"actual"
"AL","2015",26.4392957271997,"actual"
"AL","2016",27.3698033190045,"actual"
"AL","2017",28.155199069199,"proj"
"AL","2018",27.989456142134,"proj"
"AL","2019",27.8497347065373,"proj"
"AL","2020",27.7525615508386,"proj"
"AL","2021",27.454849216461,"proj"
"AL","2022",27.1330451636008,"proj"
"AM","2000",,"actual"
"AM","2001",17.0511031340863,"actual"
"AM","2002",18.848093758991,"actual"
"AM","2003",17.7762129895614,"actual"
"AM","2004",15.3830430122462,"actual"
"AM","2005",15.6896420273746,"actual"
"AM","2006",17.965582281388,"actual"
"AM","2007",20.0839365658786,"actual"
"AM","2008",20.4779515210351,"actual"
"AM","2009",20.8680085725626,"actual"
