"di_id","year","value","budget-type"
"AE","1981",,"actual"
"AE","1982",,"actual"
"AE","1983",,"actual"
"AE","1984",,"actual"
"AE","1985",,"actual"
"AE","1986",,"actual"
"AE","1987",,"actual"
"AE","1988",,"actual"
"AE","1989",,"actual"
"AE","1990",,"actual"
"AE","1991",7.2484155029576e-05,"actual"
"AE","1992",5.95849807636095e-05,"actual"
"AE","1993",6.00668066324243e-05,"actual"
"AE","1994",6.01849913369514e-05,"actual"
"AE","1995",5.04360335236806e-05,"actual"
"AE","1996",5.4840265318888e-05,"actual"
"AE","1997",4.67587276504671e-05,"actual"
"AE","1998",5.2627858084648e-05,"actual"
"AE","1999",4.44306960325491e-05,"actual"
"AE","2000",,"actual"
"AE","2000",4.04283924507807e-05,"actual"
"AE","2001",,"actual"
"AE","2001",4.70978074982759e-05,"actual"
"AE","2002",,"actual"
"AE","2002",3.77693690271342e-05,"actual"
"AE","2003",,"actual"
"AE","2003",3.57151433238491e-05,"actual"
"AE","2004",,"actual"
"AE","2004",3.08992960964417e-05,"actual"
"AE","2005",,"actual"
"AE","2005",2.33804876864048e-05,"actual"
"AE","2006",,"actual"
"AE","2006",1.92238264731902e-05,"actual"
"AE","2007",,"actual"
"AE","2007",1.64845500650406e-05,"actual"
"AE","2008",,"actual"
"AE","2008",1.40225582986978e-05,"actual"
"AE","2009",2.4785616443891e-05,"actual"
"AE","2009",,"actual"
"AE","2010",2.07016105434551e-05,"actual"
"AE","2010",,"actual"
"AE","2011",1.85379242623067e-05,"actual"
"AE","2011",,"actual"
"AE","2012",17720.1176110302,"actual"
"AE","2012",1.77198082051353e-05,"actual"
"AE","2013",1.95445447792902e-05,"actual"
"AE","2013",19545.039590419,"actual"
"AE","2014",21227.4051798756,"actual"
"AE","2014",2.18125931064559e-05,"actual"
"AE","2015",24836.9440080604,"actual"
"AE","2015",2.54047138023519e-05,"actual"
"AE","2016",27426.1888774731,"actual"
"AE","2016",2.71982727776692e-05,"actual"
"AE","2017",23768.7318249238,"proj"
"AE","2017",2.49507140970203e-05,"actual"
"AE","2018",21169.8818188225,"proj"
"AE","2018",2.28330765837141e-05,"actual"
"AE","2019",2.24349389098175e-05,"actual"
"AE","2020",2.16736147420482e-05,"actual"
"AE","2021",2.09473198797046e-05,"actual"
"AE","2022",2.01487426674713e-05,"actual"
"AE","2023",1.93845851940831e-05,"actual"
"AF","1981",,"actual"
"AF","1982",,"actual"
"AF","1983",,"actual"
"AF","1984",,"actual"
"AF","1985",,"actual"
"AF","1986",,"actual"
"AF","1987",,"actual"
"AF","1988",,"actual"
"AF","1989",,"actual"
"AF","1990",,"actual"
"AF","1991",,"actual"
"AF","1992",,"actual"
"AF","1993",,"actual"
"AF","1994",,"actual"
"AF","1995",,"actual"
"AF","1996",,"actual"
"AF","1997",,"actual"
"AF","1998",,"actual"
"AF","1999",,"actual"
"AF","2000",,"actual"
"AF","2000",,"actual"
"AF","2001",,"actual"
"AF","2001",,"actual"
"AF","2002",,"actual"
"AF","2002",1.29917663200456e-07,"actual"
"AF","2003",124.085806766292,"actual"
"AF","2003",2.09891694028687e-07,"actual"
"AF","2004",202.293795961053,"actual"
"AF","2004",2.37464472693509e-07,"actual"
"AF","2005",2.49097312677789e-07,"actual"
"AF","2005",205.811789011585,"actual"
"AF","2006",239.779978934039,"actual"
"AF","2006",2.84206628963503e-07,"actual"
"AF","2007",284.97079677974,"actual"
"AF","2007",3.46100048252982e-07,"actual"
"AF","2008",2.98527614261239e-07,"actual"
"AF","2008",263.915277316612,"actual"
"AF","2009",3.68052195188787e-07,"actual"
"AF","2009",331.266445089325,"actual"
"AF","2010",3.58294810322248e-07,"actual"
"AF","2010",329.370246162551,"actual"
"AF","2011",3.63140284208312e-07,"actual"
"AF","2011",362.667154023752,"actual"
"AF","2012",432.880408188694,"actual"
"AF","2012",4.32694744644224e-07,"actual"
"AF","2013",4.42787302241399e-07,"actual"
"AF","2013",442.866669027964,"actual"
"AF","2014",4.45775487505061e-07,"actual"
"AF","2014",445.596003096359,"actual"
"AF","2015",459.952881463614,"actual"
"AF","2015",4.44255855205471e-07,"actual"
"AF","2016",426.333437033229,"actual"
"AF","2016",4.05704437938138e-07,"actual"
"AF","2017",3.79468219165675e-07,"actual"
"AF","2017",379.487379818793,"actual"
"AF","2018",3.51002076805333e-07,"actual"
"AF","2018",351.027351552329,"proj"
"AF","2019",360.457253145933,"proj"
"AF","2019",3.60403042365751e-07,"actual"
"AF","2020",3.88613045188181e-07,"actual"
"AF","2020",388.643864192435,"proj"
"AF","2021",4.10339271953312e-07,"actual"
"AF","2021",410.322267607088,"proj"
"AF","2022",423.352680585019,"proj"
"AF","2022",4.2338632272429e-07,"actual"
"AF","2023",434.25086478984,"proj"
"AF","2023",4.34244126519968e-07,"actual"
"AG","1981",,"actual"
"AG","1982",,"actual"
"AG","1983",,"actual"
"AG","1984",,"actual"
"AG","1985",,"actual"
"AG","1986",,"actual"
"AG","1987",,"actual"
