"di_id","year","value.ncu","budget.type","gdp.current.ncu","value"
"AE","2000",,"actual",7.28016e+11,
"AE","2001",,"actual",7.37129e+11,
"AE","2002",,"actual",7.55398e+11,
"AE","2003",,"actual",8.21973e+11,
"AE","2004",,"actual",9.00693e+11,
"AE","2005",,"actual",9.44528e+11,
"AE","2006",,"actual",1.037386e+12,
"AE","2007",,"actual",1.070907e+12,
"AE","2008",,"actual",1.105333e+12,
"AE","2009",,"actual",1.04754e+12,
"AE","2010",,"actual",1.064586e+12,
"AE","2011",,"actual",1.132282e+12,
"AE","2012",5.5e+11,"actual",1.190081e+12,46.2153416448124
"AE","2013",5.829e+11,"actual",1.258986e+12,46.2991645657696
"AE","2014",5.505e+11,"actual",1.300343e+12,42.3349839234725
"AE","2015",3.874e+11,"actual",1.350131e+12,28.6935119629132
"AE","2016",3.624e+11,"actual",1.391127e+12,26.0508206655467
"AE","2017",3.797e+11,"proj",1.398536e+12,27.149819525561
"AE","2018",4.059e+11,"proj",1.425885e+12,28.4665313121325
"AF","2000",,"actual",,
"AF","2001",,"actual",,
"AF","2002",,"actual",1.82842e+11,
"AF","2003",1.5294e+10,"actual",1.98736e+11,7.69563642218823
"AF","2004",2.4812e+10,"actual",2.00069e+11,12.4017214061149
"AF","2005",3.6035e+10,"actual",2.23737e+11,16.1059636984495
"AF","2006",5.67e+10,"actual",2.35731e+11,24.0528398895351
"AF","2007",6.45e+10,"actual",2.67177e+11,24.1412995879136
"AF","2008",8.68e+10,"actual",2.77498e+11,31.2795047171511
"AF","2009",9.36e+10,"actual",3.34621e+11,27.9719443788644
"AF","2010",1.264e+11,"actual",3.62857e+11,34.8346593837242
"AF","2011",1.779e+11,"actual",3.86368e+11,46.0441858539009
"AF","2012",2.606e+11,"actual",4.40336e+11,59.1820791395661
"AF","2013",2.719e+11,"actual",4.65358e+11,58.4281348982934
"AF","2014",2.802e+11,"actual",4.77909e+11,58.6304087179777
"AF","2015",3.014e+11,"actual",4.8417e+11,62.2508623004317
"AF","2016",3.444e+11,"actual",4.95629e+11,69.4874593698109
"AF","2017",3.477e+11,"actual",5.08044e+11,68.4389541063372
"AF","2018",3.544e+11,"proj",5.20745e+11,68.0563423556635
"AF","2019",4.149e+11,"proj",5.36276e+11,77.3668782492597
"AF","2020",4.75e+11,"proj",5.54949e+11,85.5934509297251
