"di_id","year","value","budget-type"
"AE","2000",,"actual"
"AE","2001",,"actual"
"AE","2002",,"actual"
"AE","2003",,"actual"
"AE","2004",,"actual"
"AE","2005",,"actual"
"AE","2006",,"actual"
"AE","2007",,"actual"
"AE","2008",,"actual"
"AE","2009",,"actual"
"AE","2010",,"actual"
"AE","2011",,"actual"
"AE","2012",24262.6831746527,"actual"
"AE","2013",25354.7205998797,"actual"
"AE","2014",23251.0527545502,"actual"
"AE","2015",18579.0645374209,"actual"
"AE","2016",17867.7807691687,"actual"
"AE","2017",16904.302200866,"proj"
"AE","2018",16414.3832685637,"proj"
"AF","2000",,"actual"
"AF","2001",,"actual"
"AF","2002",,"actual"
"AF","2003",74.5262161988579,"actual"
"AF","2004",104.676979780905,"actual"
"AF","2005",132.623396382374,"actual"
"AF","2006",188.043889540378,"actual"
"AF","2007",190.780443588605,"actual"
"AF","2008",214.711595877035,"actual"
"AF","2009",232.137253285494,"actual"
"AF","2010",282.965821410643,"actual"
"AF","2011",352.175145746861,"actual"
"AF","2012",464.195463526716,"actual"
"AF","2013",462.456885082442,"actual"
"AF","2014",451.266342823888,"actual"
"AF","2015",463.004166053807,"actual"
"AF","2016",465.221541063995,"actual"
"AF","2017",435.993452730563,"actual"
"AF","2018",417.065497453517,"proj"
"AF","2019",458.757009388633,"proj"
"AF","2020",493.577291450451,"proj"
"AF","2021",534.085153219092,"proj"
"AF","2022",571.174119977843,"proj"
"AF","2023",609.501096071313,"proj"
"AG","2000",3693.50594419534,"actual"
"AG","2001",3325.09965940178,"actual"
"AG","2002",3724.23230043608,"actual"
"AG","2003",3795.25616525689,"actual"
"AG","2004",4143.93140101641,"actual"
"AG","2005",4364.236553377,"actual"
"AG","2006",5511.6503697998,"actual"
"AG","2007",5809.36424510709,"actual"
"AG","2008",5651.46067065894,"actual"
"AG","2009",4299.75071307111,"actual"
"AG","2010",4739.32096848081,"actual"
"AG","2011",4184.971719533,"actual"
"AG","2012",4391.24739034702,"actual"
"AG","2013",3970.14192790084,"actual"
"AG","2014",4359.77836591948,"actual"
"AG","2015",5343.61096119317,"actual"
"AG","2016",5688.02589147033,"actual"
"AG","2017",4758.05806901575,"proj"
"AG","2018",,"proj"
"AG","2019",,"proj"
"AG","2020",,"proj"
"AL","2000",1321.20432858383,"actual"
"AL","2001",1417.72115215343,"actual"
"AL","2002",1522.20828884705,"actual"
"AL","2003",1566.96896706563,"actual"
"AL","2004",1686.77419992201,"actual"
"AL","2005",1816.11869064271,"actual"
"AL","2006",1980.55772452261,"actual"
"AL","2007",2095.29387522938,"actual"
"AL","2008",2378.02129694696,"actual"
"AL","2009",2396.38565761198,"actual"
"AL","2010",2478.24990973971,"actual"
"AL","2011",2503.06616137802,"actual"
"AL","2012",2481.513485828,"actual"
"AL","2013",2428.39047762385,"actual"
"AL","2014",2713.03720134413,"actual"
"AL","2015",2798.76117087736,"actual"
"AL","2016",2999.99900008951,"actual"
"AL","2017",3207.48329379246,"proj"
"AL","2018",3309.33142406171,"proj"
"AL","2019",3421.75374296799,"proj"
"AL","2020",3548.30184997319,"proj"
"AL","2021",3652.21213610996,"proj"
"AL","2022",3758.54100475462,"proj"
"AM","2000",,"actual"
"AM","2001",538.850258537392,"actual"
"AM","2002",686.070990145449,"actual"
"AM","2003",740.412117566303,"actual"
"AM","2004",710.16466793964,"actual"
"AM","2005",832.041153076691,"actual"
"AM","2006",1082.0728503298,"actual"
"AM","2007",1380.58666003493,"actual"
"AM","2008",1510.52398010399,"actual"
"AM","2009",1325.93475691269,"actual"
"AM","2010",1379.71245905738,"actual"
