"di_id","year","value.ncu","budget.type","gdp.current.ncu","value"
"AE","2000",,"actual",7.28016e+11,
"AE","2001",,"actual",7.37129e+11,
"AE","2002",,"actual",7.55398e+11,
"AE","2003",,"actual",8.21973e+11,
"AE","2004",,"actual",9.00693e+11,
"AE","2005",,"actual",9.44528e+11,
"AE","2006",,"actual",1.037386e+12,
"AE","2007",,"actual",1.070907e+12,
"AE","2008",,"actual",1.105333e+12,
"AE","2009",,"actual",1.04754e+12,
"AE","2010",,"actual",1.064586e+12,
"AE","2011",,"actual",1.132282e+12,
"AE","2012",5.5e+11,"actual",1.190081e+12,46.2153416448124
"AE","2013",5.829e+11,"actual",1.258986e+12,46.2991645657696
"AE","2014",5.505e+11,"actual",1.300343e+12,42.3349839234725
"AE","2015",3.874e+11,"actual",1.350131e+12,28.6935119629132
"AE","2016",3.624e+11,"actual",1.391127e+12,26.0508206655467
"AE","2017",3.797e+11,"proj",1.398536e+12,27.149819525561
"AE","2018",4.059e+11,"proj",1.425885e+12,28.4665313121325
"AF","2000",,"actual",,
"AF","2001",,"actual",,
"AF","2002",,"actual",1.82842e+11,
"AF","2003",5.864e+09,"actual",1.98736e+11,2.95064809596651
"AF","2004",1.0169e+10,"actual",2.00069e+11,5.0827464524739
"AF","2005",1.28e+10,"actual",2.23737e+11,5.72100278451932
"AF","2006",2.06e+10,"actual",2.35731e+11,8.73877428085402
"AF","2007",2.88e+10,"actual",2.67177e+11,10.7793709787893
"AF","2008",3.34e+10,"actual",2.77498e+11,12.0361227828669
"AF","2009",4.14e+10,"actual",3.34621e+11,12.3722061675747
"AF","2010",6.35e+10,"actual",3.62857e+11,17.5000068897665
"AF","2011",9.2e+10,"actual",3.86368e+11,23.8114957760477
"AF","2012",1.047e+11,"actual",4.40336e+11,23.7772973365793
"AF","2013",1.09e+11,"actual",4.65358e+11,23.4228271567267
"AF","2014",1e+11,"actual",4.77909e+11,20.9244856238322
"AF","2015",1.223e+11,"actual",4.8417e+11,25.2597228246277
"AF","2016",1.411e+11,"actual",4.95629e+11,28.4688749044144
"AF","2017",1.682e+11,"actual",5.08044e+11,33.1073686531088
"AF","2018",1.72e+11,"proj",5.20745e+11,33.0296018204687
"AF","2019",1.891e+11,"proj",5.36276e+11,35.2616936055315
"AF","2020",2.079e+11,"proj",5.54949e+11,37.4629019963997
