"","di_id","year","value","budget.type"
"115","AO",2006,186.781306571212,"actual"
"116","AO",2007,190.990922891824,"actual"
"117","AO",2008,254.19018485912,"actual"
"118","AO",2009,159.574591278287,"actual"
"119","AO",2010,245.738016260648,"actual"
"120","AO",2011,342.972335911732,"actual"
"121","AO",2012,345.145793872894,"actual"
"122","AO",2013,309.87125670791,"actual"
"123","AO",2014,268.717902376209,"actual"
"124","AO",2015,199.536903656754,"actual"
"125","AO",2016,173.262577972643,"actual"
"126","AO",2017,193.857442683884,"proj"
"127","AO",2018,306.906678066279,"proj"
"128","AO",2019,353.159092301166,"proj"
"131","AR",2012,126.754476990303,"actual"
"132","AR",2013,159.645866850267,"actual"
"133","AR",2014,225.599667381455,"actual"
"134","AR",2015,291.98031288159,"actual"
"135","AR",2016,405.399682072683,"actual"
"136","AR",2017,503.661696567777,"actual"
"137","AR",2018,623.775824631452,"proj"
"138","AR",2019,745.747945541358,"proj"
"277","BB",1994,150.060606060606,"actual"
"278","BB",1995,160.807600950119,"actual"
"279","BB",1996,162.100456621005,"actual"
"280","BB",1997,182.115594329335,"actual"
"281","BB",1998,187.802313354364,"actual"
"282","BB",1999,198.53249475891,"actual"
"283","BB",2000,200.200601805416,"actual"
"284","BB",2001,208.530318602261,"actual"
"285","BB",2002,216.921508664628,"actual"
"286","BB",2003,234.730538922156,"actual"
"287","BB",2004,239.763779527559,"actual"
"288","BB",2005,258.467360454115,"actual"
"289","BB",2006,253.536257833483,"actual"
"290","BB",2007,282.658450704225,"actual"
"291","BB",2008,273.444347063979,"actual"
"292","BB",2009,259.543378995434,"actual"
"293","BB",2010,257.377049180328,"actual"
"294","BB",2011,282.911392405063,"actual"
"295","BB",2012,273.669972948602,"actual"
"296","BB",2013,264.609800362976,"actual"
"297","BB",2014,266.817769718948,"actual"
"298","BB",2015,269.748653500898,"actual"
"299","BB",2016,291.43109540636,"actual"
"300","BB",2017,308.844133099825,"actual"
"301","BB",2018,329.355400696864,"proj"
"302","BB",2019,338.461538461538,"proj"
"303","BB",2020,346.706586826347,"proj"
"304","BB",2021,355.254237288136,"proj"
"305","BB",2022,364.147774979009,"proj"
"306","BB",2023,372.984206151288,"proj"
"573","BO",2007,118.321413546487,"actual"
"574","BO",2008,149.880916837308,"actual"
"575","BO",2009,134.55678404806,"actual"
"576","BO",2010,135.843306941631,"actual"
"577","BO",2011,171.625098451037,"actual"
"578","BO",2012,192.202458584233,"actual"
"579","BO",2013,213.072725855484,"actual"
"580","BO",2014,222.449985217306,"actual"
"581","BO",2015,200.357142857143,"actual"
"582","BO",2016,173.723351512147,"actual"
"583","BO",2017,172.971365543492,"proj"
"584","BO",2018,180.841790051572,"proj"
"585","BO",2019,188.428127817289,"proj"
"586","BO",2020,195.790154939917,"proj"
"587","BO",2021,202.695754233657,"proj"
"588","BO",2022,210.47374377953,"proj"
"599","BR",2010,112.783692636815,"actual"
"600","BR",2011,125.857037124384,"actual"
"601","BR",2012,135.33909367175,"actual"
"602","BR",2013,145.82829859272,"actual"
"603","BR",2014,136.107057160336,"actual"
"604","BR",2015,144.945044280434,"actual"
"605","BR",2016,158.724743960637,"actual"
"606","BR",2017,164.751071532428,"actual"
"607","BR",2018,167.854255083277,"proj"
"706","BY",2008,99629.7954001949,"actual"
"707","BY",2009,95811.7087189766,"actual"
"708","BY",2010,96511.1226764782,"actual"
"709","BY",2011,153644.497531392,"actual"
"710","BY",2012,284479.806209946,"actual"
"711","BY",2013,343816.87599344,"actual"
"836","CG",2005,115.758028379388,"actual"
"837","CG",2006,157.469244288225,"actual"
"838","CG",2007,139.643605233599,"actual"
"839","CG",2008,206.528569362561,"actual"
"841","CG",2010,160.212481713704,"actual"
"842","CG",2011,199.117158889772,"actual"
"843","CG",2012,198.493758936923,"actual"
"844","CG",2013,201.444597205151,"actual"
"845","CG",2014,172.404868260392,"actual"
"1778","GH",2019,111.240396641058,"proj"
"1779","GH",2020,120.121112028626,"proj"
"2077","HT",2005,127.168896190253,"actual"
"2078","HT",2006,153.852038864662,"actual"
"2079","HT",2007,171.727864968907,"actual"
"2080","HT",2008,197.100278960505,"actual"
"2081","HT",2009,212.804443811423,"actual"
"2082","HT",2010,236.812358703843,"actual"
"2083","HT",2011,277.74762550882,"actual"
"2084","HT",2012,291.323662108697,"actual"
"2085","HT",2013,309.455320282328,"actual"
"2086","HT",2014,317.157847010817,"actual"
"2087","HT",2015,376.686292077307,"actual"
"2088","HT",2016,424.601021888602,"proj"
"2089","HT",2017,472.02444042646,"proj"
"2090","HT",2018,520.663733039971,"proj"
"2091","HT",2019,564.093740729754,"proj"
"2092","HT",2020,600.604734204918,"proj"
"2093","HT",2021,649.753997539975,"proj"
"2561","KI",2015,139.662921348315,"actual"
"2562","KI",2016,113.611111111111,"actual"
"2715","KZ",2017,445.232065781666,"proj"
"2996","LY",2012,142.736512303225,"actual"
"3032","MD",2004,149.57264957265,"actual"
"3033","MD",2005,174.658385093168,"actual"
"3034","MD",2006,207.836395969176,"actual"
"3035","MD",2007,245.430478821363,"actual"
"3036","MD",2008,260.956345394386,"actual"
"3037","MD",2009,252.395549500454,"actual"
"3038","MD",2010,270.719813420969,"actual"
"3039","MD",2011,282.195315601429,"actual"
"3040","MD",2012,318.896220755849,"actual"
