"di_id","year","value.ncu","budget.type","gdp.current.ncu","value"
"AE","2000",,"actual",3.81549e+11,
"AE","2001",,"actual",3.79412e+11,
"AE","2002",,"actual",4.033e+11,
"AE","2003",,"actual",4.56662e+11,
"AE","2004",,"actual",5.42885e+11,
"AE","2005",,"actual",6.63318e+11,
"AE","2006",,"actual",8.15723e+11,
"AE","2007",,"actual",9.47197e+11,
"AE","2008",,"actual",1.158581e+12,
"AE","2009",,"actual",9.31153e+11,
"AE","2010",,"actual",1.064586e+12,
"AE","2011",,"actual",1.288711e+12,
"AE","2012",5.5e+11,"actual",1.376519e+12,39.955859672115
"AE","2013",5.829e+11,"actual",1.433844e+12,40.6529580623834
"AE","2014",5.505e+11,"actual",1.480743e+12,37.1772819456178
"AE","2015",3.874e+11,"actual",1.314568e+12,29.4697573651572
"AE","2016",3.624e+11,"actual",1.28076e+12,28.2956994284643
"AE","2017",3.797e+11,"proj",1.386132e+12,27.3927735598053
"AE","2018",4.059e+11,"proj",1.512436e+12,26.8374992396372
"AF","2000",,"actual",,
"AF","2001",,"actual",,
"AF","2002",,"actual",1.78756e+11,
"AF","2003",5.864e+09,"actual",2.20013e+11,2.66529705062883
"AF","2004",1.0169e+10,"actual",2.4621e+11,4.130214044921
"AF","2005",1.28e+10,"actual",3.04926e+11,4.19773977948748
"AF","2006",2.06e+10,"actual",3.45817e+11,5.95690784432229
"AF","2007",2.88e+10,"actual",4.27495e+11,6.73692089965965
"AF","2008",3.34e+10,"actual",5.17509e+11,6.45399403681868
"AF","2009",4.14e+10,"actual",6.07227e+11,6.81787865164098
"AF","2010",6.35e+10,"actual",7.11759e+11,8.92155912324256
"AF","2011",9.2e+10,"actual",8.36222e+11,11.0018631416059
"AF","2012",1.047e+11,"actual",1.033591e+12,10.1297321667855
"AF","2013",1.09e+11,"actual",1.116827e+12,9.75979269842151
"AF","2014",1e+11,"actual",1.183039e+12,8.45280671220475
"AF","2015",1.223e+11,"actual",1.227954e+12,9.95965646921627
"AF","2016",1.411e+11,"actual",1.320243e+12,10.6874264813371
"AF","2017",1.682e+11,"actual",1.42201e+12,11.8283275082454
"AF","2018",1.72e+11,"proj",1.531946e+12,11.2275497961416
"AF","2019",1.891e+11,"proj",1.65657e+12,11.4151529968549
"AF","2020",2.079e+11,"proj",1.799953e+12,11.5503015912082
"AF","2021",2.456e+11,"proj",1.965321e+12,12.4966862919594
"AF","2022",2.929e+11,"proj",2.156188e+12,13.5841587097229
"AF","2023",3.509e+11,"proj",2.376889e+12,14.7629948222235
"AG","2000",3.26e+08,"actual",2.241e+09,14.5470771976796
"AG","2001",358300000,"actual",2.162e+09,16.572617946346
"AG","2002",396500000,"actual",2.199e+09,18.0309231468849
"AG","2003",427100000,"actual",2.31e+09,18.4891774891775
"AG","2004",472100000,"actual",2.483e+09,19.0132903745469
"AG","2005",5.11e+08,"actual",2.76e+09,18.5144927536232
"AG","2006",6.08e+08,"actual",3.124e+09,19.4622279129321
"AG","2007",7.36e+08,"actual",3.541e+09,20.7850889579215
