"","di_id","year","value","budget.type"
"844","CG",2013,203.201381483103,"actual"
"2078","HT",2006,203.190268533395,"actual"
"581","BO",2015,202.5,"actual"
"4572","ST",2019,201.968541298872,"proj"
"842","CG",2011,201.907868895235,"actual"
"283","BB",2000,200.200601805416,"actual"
"843","CG",2012,199.972046918173,"actual"
"124","AO",2015,199.596183782617,"actual"
"3921","PR",2016,198.656582744552,"actual"
"282","BB",1999,198.53249475891,"actual"
"2561","KI",2015,197.078651685393,"actual"
"586","BO",2020,197.025424056257,"proj"
"578","BO",2012,195.838721314205,"actual"
"4571","ST",2018,195.345936559955,"proj"
"3920","PR",2015,194.339988369839,"actual"
"126","AO",2017,194.1541329849,"proj"
"116","AO",2007,191.197895716292,"actual"
"3919","PR",2014,190.885566417481,"actual"
"4569","ST",2016,190.283522448448,"actual"
"3923","PR",2018,190.206819452208,"proj"
"585","BO",2019,189.616948812982,"proj"
"2563","KI",2017,188.054054054054,"proj"
"281","BB",1998,187.802313354364,"actual"
"115","AO",2006,186.781306571212,"actual"
"280","BB",1997,182.115594329335,"actual"
"584","BO",2018,181.986358343038,"proj"
"2568","KI",2022,180.922330097087,"proj"
"3033","MD",2005,180.372670807453,"actual"
"2567","KI",2021,178.514851485149,"proj"
"2564","KI",2018,177.248677248677,"proj"
"2566","KI",2020,176.666666666667,"proj"
"4875","TV",2016,176.315789473684,"actual"
"4874","TV",2015,175.675675675676,"actual"
"4740","TL",2009,175.586734693878,"actual"
"577","BO",2011,175.503631749366,"actual"
"582","BO",2016,174.77622030919,"actual"
"4882","TV",2023,174.468085106383,"proj"
"845","CG",2014,174.353633991346,"actual"
"2565","KI",2019,174.329896907216,"proj"
"583","BO",2017,174.069596435832,"proj"
"125","AO",2016,173.382110623883,"actual"
"2077","HT",2005,172.54947977783,"actual"
"4566","ST",2013,171.070871680858,"actual"
"4881","TV",2022,169.565217391304,"proj"
"607","BR",2018,167.854255083277,"proj"
"4564","ST",2011,166.259389247876,"actual"
"4568","ST",2015,166.02651037644,"actual"
"4565","ST",2012,165.384430517449,"actual"
"4745","TL",2014,165.058139534884,"actual"
"606","BR",2017,164.751071532428,"actual"
"4880","TV",2021,164.444444444444,"proj"
"4878","TV",2019,164.285714285714,"proj"
"4570","ST",2017,163.785639024797,"proj"
"4876","TV",2017,162.5,"actual"
"279","BB",1996,162.100456621005,"actual"
"841","CG",2010,160.933834625517,"actual"
"278","BB",1995,160.807600950119,"actual"
"2560","KI",2014,159.813664596273,"actual"
"118","AO",2009,159.728993398537,"actual"
"4231","SD",2013,159.671319856202,"actual"
"132","AR",2013,159.645866850267,"actual"
"4879","TV",2020,159.090909090909,"proj"
"605","BR",2016,158.724743960637,"actual"
"2562","KI",2016,158,"actual"
"837","CG",2006,157.908611599297,"actual"
"574","BO",2008,154.664350353392,"actual"
"4563","ST",2010,152.059079677454,"actual"
"3032","MD",2004,151.241987179487,"actual"
"277","BB",1994,150.060606060606,"actual"
"3661","NR",2016,146.818181818182,"actual"
"4567","ST",2014,146.139540681075,"actual"
"602","BR",2013,145.82829859272,"actual"
"604","BR",2015,144.945044280434,"actual"
"3662","NR",2017,144.782608695652,"proj"
"4561","ST",2008,142.821137528354,"actual"
"2996","LY",2012,142.736512303225,"actual"
"4003","PY",2020,141.218414484791,"proj"
"838","CG",2007,140.982898122669,"actual"
"576","BO",2010,140.498373534647,"actual"
"2550","KI",2004,140,"actual"
"575","BO",2009,139.223493321403,"actual"
"4229","SD",2011,137.926772089851,"actual"
"3663","NR",2018,136.756756756757,"proj"
"603","BR",2014,136.107057160336,"actual"
"4002","PY",2019,135.837551880432,"proj"
"601","BR",2012,135.33909367175,"actual"
"4558","ST",2005,134.639786679656,"actual"
"3664","NR",2019,134.144144144144,"proj"
"3476","NA",2022,132.362285546703,"proj"
"4001","PY",2018,130.688703919656,"proj"
"131","AR",2012,126.754476990303,"actual"
"4873","TV",2014,126.470588235294,"actual"
"4000","PY",2017,126.239525430853,"proj"
"600","BR",2011,125.857037124384,"actual"
"4872","TV",2013,125.588235294118,"actual"
"3475","NA",2021,125.204800593332,"proj"
"573","BO",2007,124.263777871266,"actual"
"3999","PY",2016,121.981122021307,"actual"
"1779","GH",2020,120.506468483347,"proj"
"4228","SD",2010,119.999179352509,"actual"
"3474","NA",2020,119.539929193045,"proj"
"3998","PY",2015,117.260049736066,"actual"
"836","CG",2005,116.318147871546,"actual"
"572","BO",2006,115.375197038015,"actual"
"4966","UA",2018,114.580965016543,"proj"
"2076","HT",2004,113.920522417775,"actual"
"599","BR",2010,112.783692636815,"actual"
"1778","GH",2019,112.736733964624,"proj"
"3080","MG",2006,112.260136318293,"actual"
"43","AF",2023,111.75655586327,"proj"
"4562","ST",2009,111.621791714858,"actual"
"3471","NA",2017,111.23659270189,"actual"
"3997","PY",2014,110.812319948533,"actual"
