"","di_id","year","value","budget.type"
"711","BY",2013,343816.87599344,"actual"
"710","BY",2012,284479.806209946,"actual"
"709","BY",2011,153644.497531392,"actual"
"706","BY",2008,99629.7954001949,"actual"
"708","BY",2010,96511.1226764782,"actual"
"707","BY",2009,95811.7087189766,"actual"
"5074","UZ",2019,8567.96134913953,"proj"
"4730","TJ",2020,8563.58620689655,"proj"
"4729","TJ",2019,8074.43440860215,"proj"
"5073","UZ",2018,7531.81926054762,"proj"
"4728","TJ",2018,7496.18171641791,"proj"
"4727","TJ",2017,6650.87209302326,"proj"
"4726","TJ",2016,6509.39751037344,"actual"
"4725","TJ",2015,6432.088,"actual"
"5072","UZ",2017,6260.18591995424,"actual"
"4724","TJ",2014,6109.34905660377,"actual"
"5070","UZ",2015,5378.61501019436,"actual"
"5071","UZ",2016,5338.38631538814,"actual"
"4723","TJ",2013,5036.18090452261,"proj"
"4722","TJ",2012,4960,"actual"
"5069","UZ",2014,4589.04740933438,"proj"
"4721","TJ",2011,4350.58139534884,"actual"
"5068","UZ",2013,4188.08845391477,"proj"
"5067","UZ",2012,3788.56930558824,"actual"
"4720","TJ",2010,3554.03726708075,"actual"
"5066","UZ",2011,3216.28318492562,"actual"
"4719","TJ",2009,3198.01324503311,"actual"
"5109","VE",2016,3053.21189312619,"proj"
"5065","UZ",2010,2801.64901695912,"actual"
"4718","TJ",2008,2686.20689655172,"actual"
"5064","UZ",2009,2468.25637910085,"actual"
"5108","VE",2015,2426.50073989552,"proj"
"4717","TJ",2007,2141.79104477612,"actual"
"5063","UZ",2008,2089.26454604263,"actual"
"4716","TJ",2006,1752,"actual"
"5107","VE",2014,1674.15816585855,"proj"
"5062","UZ",2007,1596.88318753848,"actual"
"5061","UZ",2006,1277.48883985436,"actual"
"4715","TJ",2005,1235.04273504274,"actual"
"5060","UZ",2005,1032.45024183899,"actual"
"4714","TJ",2004,1012.84403669725,"actual"
"5106","VE",2013,967.214046983964,"proj"
"5059","UZ",2004,889.232510070079,"actual"
"4713","TJ",2003,833.333333333333,"actual"
"2093","HT",2021,826.612993402661,"proj"
"5058","UZ",2003,796.227301227628,"actual"
"4240","SD",2022,790.328779567451,"proj"
"2092","HT",2020,784.812532396475,"proj"
"2091","HT",2019,752.761791753189,"proj"
"4550","SS",2018,747.126436781609,"proj"
"138","AR",2019,745.747945541358,"proj"
"2090","HT",2018,720.40704070407,"proj"
"2089","HT",2017,703.017644491552,"proj"
"5213","YE",2012,651.308786356372,"actual"
"4239","SD",2021,646.218094106635,"proj"
"5215","YE",2014,640.886765702,"proj"
"5105","VE",2012,626.190786366819,"proj"
"137","AR",2018,623.775824631452,"proj"
"4712","TJ",2002,622.222222222222,"actual"
"5214","YE",2013,567.964088246565,"actual"
"5209","YE",2008,566.261811464077,"actual"
"2084","HT",2012,532.90067328382,"actual"
"4238","SD",2020,532.566338838374,"proj"
"2087","HT",2015,524.932804300525,"actual"
"5104","VE",2011,524.269961126974,"proj"
"5212","YE",2011,521.176083482185,"actual"
"2088","HT",2016,519.081561849492,"proj"
"3050","MD",2022,509.339591015756,"proj"
"2085","HT",2013,505.087228658943,"actual"
"136","AR",2017,503.661696567777,"actual"
"3049","MD",2021,485.496342737722,"proj"
"2082","HT",2010,480.949510173323,"actual"
"2086","HT",2014,479.927456441479,"actual"
"4549","SS",2017,476.553564620663,"proj"
"2083","HT",2011,473.61279725773,"actual"
"4711","TJ",2001,465.853658536585,"actual"
"3048","MD",2020,463.216560509554,"proj"
"5216","YE",2015,456.564061170619,"proj"
"5211","YE",2010,454.909120748369,"actual"
"4237","SD",2019,453.866482822015,"proj"
"5207","YE",2006,445.205058561825,"actual"
"3046","MD",2018,444.505965842626,"proj"
"3047","MD",2019,443.403456048084,"proj"
"3045","MD",2017,426.774323778765,"actual"
"5208","YE",2007,424.577949300398,"actual"
"4560","ST",2007,407.641930757611,"actual"
"135","AR",2016,405.399682072683,"actual"
"5217","YE",2016,394.80031895807,"proj"
"4236","SD",2018,389.661870218417,"proj"
"3044","MD",2016,385.849848841115,"actual"
"3043","MD",2015,382.357061553279,"actual"
"306","BB",2023,372.984206151288,"proj"
"3042","MD",2014,370.26862026862,"actual"
"305","BB",2022,364.147774979009,"proj"
"5206","YE",2005,355.981310188737,"actual"
"304","BB",2021,355.254237288136,"proj"
"128","AO",2019,353.159092301166,"proj"
"5210","YE",2009,352.40928084755,"actual"
"5103","VE",2010,352.067019065367,"proj"
"303","BB",2020,346.706586826347,"proj"
"121","AO",2012,345.282404121804,"actual"
"120","AO",2011,343.116019336915,"actual"
"2081","HT",2009,339.816265489247,"actual"
"302","BB",2019,338.461538461538,"proj"
"3041","MD",2013,337.305794187534,"actual"
"3040","MD",2012,334.713057388522,"actual"
"301","BB",2018,329.355400696864,"proj"
"4710","TJ",2000,326.666666666667,"actual"
"4235","SD",2017,321.877826194196,"proj"
"122","AO",2013,309.999117758749,"actual"
"300","BB",2017,308.844133099825,"actual"
"127","AO",2018,306.906678066279,"proj"
"4743","TL",2012,300.075862068965,"actual"
"3039","MD",2011,299.106788408098,"actual"
"134","AR",2015,291.98031288159,"actual"
"3038","MD",2010,291.921976041556,"actual"
"299","BB",2016,291.43109540636,"actual"
"5101","VE",2008,283.80740483554,"proj"
"294","BB",2011,282.911392405063,"actual"
"290","BB",2007,282.658450704225,"actual"
"4742","TL",2011,280.465793304221,"actual"
"2080","HT",2008,278.241080604904,"actual"
"5205","YE",2004,274.668630338733,"actual"
"295","BB",2012,273.669972948602,"actual"
"291","BB",2008,273.444347063979,"actual"
"3036","MD",2008,272.366314441242,"actual"
"298","BB",2015,269.748653500898,"actual"
"123","AO",2014,268.840019123483,"actual"
"5102","VE",2009,267.471878801786,"proj"
"3037","MD",2009,267.018619436876,"actual"
"297","BB",2014,266.817769718948,"actual"
"296","BB",2013,264.609800362976,"actual"
"292","BB",2009,259.543378995434,"actual"
"288","BB",2005,258.467360454115,"actual"
"293","BB",2010,257.377049180328,"actual"
"2079","HT",2007,256.988451288126,"actual"
"3035","MD",2007,256.595303867403,"actual"
"117","AO",2008,254.348312501334,"actual"
"5100","VE",2007,254.237846971632,"proj"
"289","BB",2006,253.536257833483,"actual"
"3928","PR",2023,249.475524475524,"proj"
"4744","TL",2013,248.829071332436,"actual"
"119","AO",2010,245.887264979907,"actual"
"4234","SD",2016,243.074704110635,"actual"
"3927","PR",2022,242.128397917872,"proj"
"287","BB",2004,239.763779527559,"actual"
"4233","SD",2015,237.603759497562,"actual"
"286","BB",2003,234.730538922156,"actual"
"5204","YE",2003,233.969618402965,"actual"
"5201","YE",2000,229.281498938512,"actual"
"5099","VE",2006,229.195201498523,"proj"
"4739","TL",2008,228.411214953271,"actual"
"3926","PR",2021,227.823691460055,"proj"
"133","AR",2014,225.599667381455,"actual"
"580","BO",2014,224.135212378043,"actual"
"3925","PR",2020,224.020501138952,"proj"
"4232","SD",2014,222.101596779301,"actual"
"4877","TV",2018,221.951219512195,"proj"
"3922","PR",2017,219.85341668463,"proj"
"285","BB",2002,216.921508664628,"actual"
"579","BO",2013,214.724452412503,"actual"
"4741","TL",2010,214.498432601881,"actual"
"588","BO",2022,211.822934444784,"proj"
"3034","MD",2006,211.570835803201,"actual"
"839","CG",2008,211.180113717573,"actual"
"4573","ST",2020,210.803146254124,"proj"
"284","BB",2001,208.530318602261,"actual"
"5202","YE",2001,207.520264184929,"actual"
"3924","PR",2019,206.17507351278,"proj"
"5203","YE",2002,204.898796242138,"actual"
"587","BO",2021,203.986809993107,"proj"
