"","di_id","year","budget.type","l1","l2","l3","l4","l5","l6","value","value.ncu","value.ppp"
"18","AE",2000,"actual","finance",NA,NA,NA,NA,NA,NA,NA,NA
"20","AE",2000,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"24","AE",2000,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"26","AE",2001,"actual","finance",NA,NA,NA,NA,NA,NA,NA,NA
"41","AE",2001,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"44","AE",2001,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"55","AE",2002,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"61","AE",2002,"actual","finance",NA,NA,NA,NA,NA,NA,NA,NA
"72","AE",2002,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"79","AE",2003,"actual","finance",NA,NA,NA,NA,NA,NA,NA,NA
"88","AE",2003,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"89","AE",2003,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"106","AE",2004,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"109","AE",2004,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"114","AE",2004,"actual","finance",NA,NA,NA,NA,NA,NA,NA,NA
"125","AE",2005,"actual","finance",NA,NA,NA,NA,NA,NA,NA,NA
"136","AE",2005,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"141","AE",2005,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"150","AE",2006,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"158","AE",2006,"actual","finance",NA,NA,NA,NA,NA,NA,NA,NA
"165","AE",2006,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"171","AE",2007,"actual","finance",NA,NA,NA,NA,NA,NA,NA,NA
"179","AE",2007,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"189","AE",2007,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"199","AE",2008,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"201","AE",2008,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"210","AE",2008,"actual","finance",NA,NA,NA,NA,NA,NA,NA,NA
"235","AE",2009,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"237","AE",2009,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"240","AE",2009,"actual","finance",NA,NA,NA,NA,NA,NA,NA,NA
"241","AE",2010,"actual","finance",NA,NA,NA,NA,NA,NA,NA,NA
"249","AE",2010,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"260","AE",2010,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"265","AE",2011,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"285","AE",2011,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"286","AE",2011,"actual","finance",NA,NA,NA,NA,NA,NA,NA,NA
"460","AF",2000,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"471","AF",2000,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"481","AF",2000,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"506","AF",2001,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"522","AF",2001,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"526","AF",2001,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"540","AF",2002,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"545","AF",2002,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"563","AF",2002,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"2148","AG",2018,"proj","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"2150","AG",2018,"proj","financing",NA,NA,NA,NA,NA,NA,NA,NA
"2151","AG",2018,"proj","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"2188","AG",2019,"proj","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"2189","AG",2019,"proj","financing",NA,NA,NA,NA,NA,NA,NA,NA
"2211","AG",2019,"proj","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"2227","AG",2020,"proj","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"2253","AG",2020,"proj","financing",NA,NA,NA,NA,NA,NA,NA,NA
"2259","AG",2020,"proj","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"3729","AM",2000,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"3741","AM",2000,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"3743","AM",2000,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"4582","AM",2020,"proj","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"4601","AM",2020,"proj","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"4602","AM",2020,"proj","financing",NA,NA,NA,NA,NA,NA,NA,NA
"4615","AO",2000,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"4623","AO",2000,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"4656","AO",2000,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"4684","AO",2001,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"4701","AO",2001,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"4704","AO",2001,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"4726","AO",2002,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"4744","AO",2002,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"4765","AO",2002,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"4782","AO",2003,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"4788","AO",2003,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"4798","AO",2003,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"4833","AO",2004,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"4838","AO",2004,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"4856","AO",2004,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"4893","AO",2005,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"4919","AO",2005,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"4920","AO",2005,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"5741","AO",2020,"proj","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"5749","AO",2020,"proj","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"5762","AO",2020,"proj","financing",NA,NA,NA,NA,NA,NA,NA,NA
"5900","AZ",2000,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"5923","AZ",2000,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"5928","AZ",2000,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"5953","AZ",2001,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"5994","AZ",2001,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"5995","AZ",2001,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"6025","AZ",2002,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"6033","AZ",2002,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"6052","AZ",2002,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"8059","BD",2000,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"8060","BD",2000,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"8065","BD",2000,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"8096","BD",2001,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"8099","BD",2001,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"8102","BD",2001,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"8723","BD",2019,"proj","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"8725","BD",2019,"proj","financing",NA,NA,NA,NA,NA,NA,NA,NA
"8752","BD",2019,"proj","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"8758","BD",2020,"proj","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"8760","BD",2020,"proj","financing",NA,NA,NA,NA,NA,NA,NA,NA
"8775","BD",2020,"proj","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"8806","BF",2000,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"8807","BF",2000,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"8813","BF",2000,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"9716","BI",2000,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"9721","BI",2000,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"9739","BI",2000,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"9758","BI",2001,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"9760","BI",2001,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"9768","BI",2001,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"9808","BI",2002,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"9816","BI",2002,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"9829","BI",2002,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"9873","BI",2003,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"9876","BI",2003,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"9889","BI",2003,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"10649","BI",2020,"proj","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"10650","BI",2020,"proj","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"10654","BI",2020,"proj","financing",NA,NA,NA,NA,NA,NA,NA,NA
"11451","BO",2000,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"11454","BO",2000,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"11462","BO",2000,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"12247","BR",2000,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"12257","BR",2000,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"12282","BR",2000,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"12290","BR",2001,"actual","total-expenditure",NA,NA,NA,NA,NA,NA,NA,NA
"12327","BR",2001,"actual","financing",NA,NA,NA,NA,NA,NA,NA,NA
"12339","BR",2001,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
"12368","BR",2002,"actual","total-revenue-and-grants",NA,NA,NA,NA,NA,NA,NA,NA
